19
0	0	0

1	10	0	-0.75
2	12	0	0.25
3	6	0	-0.25
3	12	0	-0.25
3	15	0	0.25
4	5	0	0.25
4	11	0	0.25
5	6	0	-0.25
5	7	0	1.0
6	1	0	-0.25
6	5	0	0.25
6	8	0	0.25
7	6	0	0.75
7	8	0	0.75
7	10	0	-0.5
7	11	0	-0.5
7	12	0	0.25
9	1	0	-0.75
9	2	0	0.25
9	5	0	0.25
9	14	0	0.5
9	15	0	0.25
9	18	0	-1.0
9	19	0	-0.25
10	6	0	-0.25
11	6	0	-0.25
12	1	0	0.25
12	8	0	0.25
12	11	0	-0.75
13	10	0	0.25
14	10	0	-0.25
14	15	0	-0.25
15	10	0	0.25
16	11	0	-0.25
16	13	0	0.5
16	15	0	-0.75
16	17	0	-0.25
16	18	0	0.25
17	7	0	-0.25
17	18	0	-0.25
18	12	0	0.75
19	12	0	0.25
