23
0	0	0

1	2	0	0.6
2	1	0	0.3
3	1	0	0.3
3	2	0	0.3
4	1	0	0.9
4	5	0	0.9
5	1	0	0.9
6	8	0	0.9
6	9	0	0.1
7	8	0	0.9
7	19	0	0.9
7	21	0	0.3
7	22	0	0.1
8	1	0	0.6
8	2	0	0.6
8	21	0	0.3
9	2	0	0.9
10	11	0	0.9
10	12	0	0.6
10	13	0	0.3
10	15	0	0.3
10	16	0	0.1
10	17	0	0.9
10	18	0	0.9
11	2	0	0.3
12	11	0	0.3
12	18	0	0.3
13	10	0	0.9
13	15	0	0.1
14	18	0	0.3
15	10	0	0.9
15	11	0	0.1
18	10	0	0.3
18	16	0	0.3
18	17	0	0.3
19	1	0	0.6
19	2	0	0.6
19	9	0	0.5
20	2	0	0.3
20	10	0	0.6
20	11	0	0.3
20	21	0	0.3
21	11	0	0.1
22	8	0	0.3
22	21	0	0.6
22	23	0	0.6
23	8	0	0.3
