21
0	0	0

1	6	0	-0.25
1	10	0	-0.75
1	14	0	-0.75
2	7	0	0.25
2	12	0	0.25
3	5	0	-0.25
3	12	0	-0.25
4	7	0	0.25
4	8	0	0.25
4	11	0	0.25
4	16	0	0.25
4	20	0	-0.25
5	1	0	-0.25
5	8	0	0.25
5	16	0	-0.25
6	7	0	0.75
7	5	0	0.25
7	6	0	0.25
7	8	0	0.5
9	8	0	0.25
10	5	0	-0.25
11	5	0	-0.25
12	1	0	0.25
12	5	0	0.25
12	7	0	0.5
12	8	0	1.0
12	9	0	-1.0
12	11	0	-0.25
12	14	0	-0.5
12	20	0	0.25
13	7	0	-1.0
14	7	0	0.25
15	1	0	0.5
15	10	0	-0.5
16	7	0	-0.75
16	18	0	0.75
16	19	0	0.5
17	5	0	0.25
17	11	0	-0.25
17	13	0	-0.25
17	14	0	-0.25
17	16	0	0.75
17	20	0	0.5
18	12	0	0.75
19	12	0	0.8
20	2	0	0.5
20	12	0	0.5
21	1	0	-0.75
21	2	0	0.25
21	15	0	0.75
21	18	0	1.0
21	19	0	-0.25
