           1   11.6737175    
 0.0830741	 0.01359558
 0.1688142	 0.01719952
 0.0060883	 0.00608831
 0.0132913	 0.01329134
 0.0159657	 0.00878837
 0.0096562	 0.00965615
 0.0204005	 0.02040050
 0.0337236	 0.01504070
 0.0200410	 0.01108101
 0.5380476	 0.18635258
 0.4014757	 0.03746476
 0.2343029	 0.04060575
 0.2240135	 0.12716497
 0.0151056	 0.01510557
 0.2331120	 0.12282261
 0.1164374	 0.00996151
 0.3988645	 0.03412582
 0.4121832	 0.07674401
 0.0279354	 0.01691911
 0.0851505	 0.08515053
 0.0329488	 0.00513234
 0.0076306	 0.00640658
 0.0059932	 0.00324617
